Plate;Date;Well;Sample;Clon;Replicate;Plasmid;Treatment;Strain
PR1;20231025;A1;AJN46;1;1;pOXA-48;-;AJN46
PR1;20231025;A2;AJN46;1;1;none;-;AJN46
PR1;20231025;A3;AJN46;1;1;delta_blaOXA;-;AJN46
PR1;20231025;A4;-;-;-;-;-;-
PR1;20231025;A5;-;-;-;-;-;-
PR1;20231025;A6;-;-;-;-;-;-
PR1;20231025;A7;-;-;-;-;-;-
PR1;20231025;A8;-;-;-;-;-;-
PR1;20231025;A9;-;-;-;-;-;-
PR1;20231025;A10;-;-;-;-;-;-
PR1;20231025;A11;-;-;-;-;-;-
PR1;20231025;A12;-;-;-;-;-;-
PR1;20231025;B1;AJN46;1;2;pOXA-48;-;AJN46
PR1;20231025;B2;AJN46;1;2;none;-;AJN46
PR1;20231025;B3;AJN46;1;2;delta_blaOXA;-;AJN46
PR1;20231025;B4;-;-;-;-;-;-
PR1;20231025;B5;-;-;-;-;-;-
PR1;20231025;B6;-;-;-;-;-;-
PR1;20231025;B7;-;-;-;-;-;-
PR1;20231025;B8;-;-;-;-;-;-
PR1;20231025;B9;-;-;-;-;-;-
PR1;20231025;B10;-;-;-;-;-;-
PR1;20231025;B11;-;-;-;-;-;-
PR1;20231025;B12;-;-;-;-;-;-
PR1;20231025;C1;AJN46;1;3;pOXA-48;-;AJN46
PR1;20231025;C2;AJN46;1;3;none;-;AJN46
PR1;20231025;C3;AJN46;1;3;delta_blaOXA;-;AJN46
PR1;20231025;C4;-;-;-;-;-;-
PR1;20231025;C5;-;-;-;-;-;-
PR1;20231025;C6;-;-;-;-;-;-
PR1;20231025;C7;-;-;-;-;-;-
PR1;20231025;C8;-;-;-;-;-;-
PR1;20231025;C9;-;-;-;-;-;-
PR1;20231025;C10;-;-;-;-;-;-
PR1;20231025;C11;-;-;-;-;-;-
PR1;20231025;C12;-;-;-;-;-;-
PR1;20231025;D1;AJN46;1;4;pOXA-48;-;AJN46
PR1;20231025;D2;AJN46;1;4;none;-;AJN46
PR1;20231025;D3;AJN46;1;4;delta_blaOXA;-;AJN46
PR1;20231025;D4;-;-;-;-;-;-
PR1;20231025;D5;-;-;-;-;-;-
PR1;20231025;D6;-;-;-;-;-;-
PR1;20231025;D7;-;-;-;-;-;-
PR1;20231025;D8;-;-;-;-;-;-
PR1;20231025;D9;-;-;-;-;-;-
PR1;20231025;D10;-;-;-;-;-;-
PR1;20231025;D11;-;-;-;-;-;-
PR1;20231025;D12;-;-;-;-;-;-
PR1;20231025;E1;AJN46;1;5;pOXA-48;-;AJN46
PR1;20231025;E2;AJN46;1;5;none;-;AJN46
PR1;20231025;E3;AJN46;2;1;delta_blaOXA;-;AJN46
PR1;20231025;E4;-;-;-;-;-;-
PR1;20231025;E5;-;-;-;-;-;-
PR1;20231025;E6;-;-;-;-;-;-
PR1;20231025;E7;-;-;-;-;-;-
PR1;20231025;E8;-;-;-;-;-;-
PR1;20231025;E9;-;-;-;-;-;-
PR1;20231025;E10;-;-;-;-;-;-
PR1;20231025;E11;-;-;-;-;-;-
PR1;20231025;E12;-;-;-;-;-;-
PR1;20231025;F1;AJN46;1;6;pOXA-48;-;AJN46
PR1;20231025;F2;AJN46;1;6;none;-;AJN46
PR1;20231025;F3;AJN46;2;2;delta_blaOXA;-;AJN46
PR1;20231025;F4;-;-;-;-;-;-
PR1;20231025;F5;-;-;-;-;-;-
PR1;20231025;F6;-;-;-;-;-;-
PR1;20231025;F7;-;-;-;-;-;-
PR1;20231025;F8;-;-;-;-;-;-
PR1;20231025;F9;-;-;-;-;-;-
PR1;20231025;F10;-;-;-;-;-;-
PR1;20231025;F11;-;-;-;-;-;-
PR1;20231025;F12;-;-;-;-;-;-
PR1;20231025;G1;AJN46;1;7;pOXA-48;-;AJN46
PR1;20231025;G2;AJN46;1;7;none;-;AJN46
PR1;20231025;G3;AJN46;3;1;delta_blaOXA;-;AJN46
PR1;20231025;G4;-;-;-;-;-;-
PR1;20231025;G5;-;-;-;-;-;-
PR1;20231025;G6;-;-;-;-;-;-
PR1;20231025;G7;-;-;-;-;-;-
PR1;20231025;G8;-;-;-;-;-;-
PR1;20231025;G9;-;-;-;-;-;-
PR1;20231025;G10;-;-;-;-;-;-
PR1;20231025;G11;-;-;-;-;-;-
PR1;20231025;G12;-;-;-;-;-;-
PR1;20231025;H1;AJN46;1;8;pOXA-48;-;AJN46
PR1;20231025;H2;AJN46;1;8;none;-;AJN46
PR1;20231025;H3;AJN46;3;2;delta_blaOXA;-;AJN46
PR1;20231025;H4;-;-;-;-;-;-
PR1;20231025;H5;-;-;-;-;-;-
PR1;20231025;H6;-;-;-;-;-;-
PR1;20231025;H7;-;-;-;-;-;-
PR1;20231025;H8;-;-;-;-;-;-
PR1;20231025;H9;-;-;-;-;-;-
PR1;20231025;H10;-;-;-;-;-;-
PR1;20231025;H11;-;-;-;-;-;-
PR1;20231025;H12;-;-;-;-;-;-
PR2;20231025;A1;AJC310;1;1;pOXA-48;-;AJC310
PR2;20231025;A2;AJC310;1;1;none;-;AJC310
PR2;20231025;A3;AJC310;1;1;delta_blaOXA;-;AJC310
PR2;20231025;A4;-;-;-;-;-;-
PR2;20231025;A5;-;-;-;-;-;-
PR2;20231025;A6;-;-;-;-;-;-
PR2;20231025;A7;AJC527;1;1;pOXA-48;-;AJC527
PR2;20231025;A8;AJC527;1;1;none;-;AJC527
PR2;20231025;A9;AJC527;1;1;delta_blaOXA;-;AJC527
PR2;20231025;A10;KPN10;1;1;pOXA-48;-;KPN10
PR2;20231025;A11;KPN10;1;1;none;-;KPN10
PR2;20231025;A12;KPN10;1;1;delta_blaOXA;-;KPN10
PR2;20231025;B1;AJC310;1;2;pOXA-48;-;AJC310
PR2;20231025;B2;AJC310;1;2;none;-;AJC310
PR2;20231025;B3;AJC310;1;2;delta_blaOXA;-;AJC310
PR2;20231025;B4;-;-;-;-;-;-
PR2;20231025;B5;-;-;-;-;-;-
PR2;20231025;B6;-;-;-;-;-;-
PR2;20231025;B7;AJC527;1;2;pOXA-48;-;AJC527
PR2;20231025;B8;AJC527;1;2;none;-;AJC527
PR2;20231025;B9;AJC527;1;2;delta_blaOXA;-;AJC527
PR2;20231025;B10;KPN10;1;2;pOXA-48;-;KPN10
PR2;20231025;B11;KPN10;1;2;none;-;KPN10
PR2;20231025;B12;KPN10;1;2;delta_blaOXA;-;KPN10
PR2;20231025;C1;AJC310;1;3;pOXA-48;-;AJC310
PR2;20231025;C2;AJC310;1;3;none;-;AJC310
